pais,tau,inef,theta_star_cum,theta_star_flat,eta0
UK,0.1,0.35,0.018129607737772335,0.03836805555555547,0.45676128520474135
UK,0.1,0.45,0.015340437316576572,0.03246527777777766,0.45676128520474135
UK,0.2,0.2,0.04462672673913195,0.09444444444444433,0.45676128520474135
UK,0.2,0.35,0.03625921547554467,0.07673611111111094,0.45676128520474135
UK,0.2,0.45,0.030680874633153256,0.06493055555555556,0.45676128520474135
UK,0.3,0.2,0.06694009010869792,0.1416666666666665,0.45676128520474135
UK,0.3,0.35,0.05438882321331711,0.11510416666666662,0.45676128520474135
UK,0.3,0.45,0.04602131194972983,0.09739583333333322,0.45676128520474135
US,0.1,0.2,0.021769134994698437,0.04607046070460687,0.4589295509648516
US,0.1,0.35,0.01768742218319254,0.037432249322493207,0.4589295509648516
US,0.1,0.45,0.014966280308855268,0.03167344173441742,0.4589295509648516
US,0.2,0.2,0.04353826998939703,0.09214092140921407,0.4589295509648516
US,0.2,0.35,0.03537484436638508,0.07486449864498641,0.4589295509648516
US,0.2,0.45,0.029932560617710387,0.06334688346883453,0.4589295509648516
US,0.3,0.2,0.06530740498409561,0.13821138211382125,0.4589295509648516
US,0.3,0.35,0.05306226654957761,0.11229674796747961,0.4589295509648516
US,0.3,0.45,0.04489884092656566,0.09502032520325196,0.4589295509648516
CA,0.1,0.2,0.022885500891862535,0.048433048433048374,0.5171692817208564
CA,0.1,0.35,0.018594469474638265,0.03935185185185171,0.5171692817208564
CA,0.1,0.45,0.015733781863155542,0.03329772079772086,0.5171692817208564
CA,0.2,0.2,0.04577100178372507,0.09686609686609675,0.5171692817208564
CA,0.2,0.35,0.037188938949276724,0.07870370370370382,0.5171692817208564
CA,0.2,0.45,0.031467563726311085,0.06659544159544172,0.5171692817208564
CA,0.3,0.2,0.0686565026755878,0.14529914529914553,0.5171692817208564
CA,0.3,0.35,0.055783408423914986,0.11805555555555552,0.5171692817208564
CA,0.3,0.45,0.047201345589466634,0.0998931623931626,0.5171692817208564
